date,IC_sel,IC_close,IC_ret,IC_roll,IM_sel,IM_close,IM_ret,IM_roll
2022-01-04,IC2201,7371.0,-0.0001085216636371,0.0,,,,
2022-01-05,IC2201,7221.8,-0.0202414869081535,0.0,,,,
2022-01-06,IC2201,7225.2,0.0004707967542716,0.0,,,,
2022-01-07,IC2201,7192.0,-0.0045950285113214,0.0,,,,
2022-01-10,IC2201,7191.0,-0.000139043381535,0.0,,,,
2022-01-11,IC2201,7157.8,-0.0046168822138784,0.0,,,,
2022-01-12,IC2201,7200.0,0.0058956662661711,0.0,,,,
2022-01-13,IC2201,7118.8,-0.0112777777777777,0.0,,,,
2022-01-14,IC2201,7088.4,-0.0042703826487611,0.0,,,,
2022-01-17,IC2202,7149.2,0.0093392020766323,0.0,,,,
2022-01-18,IC2202,7165.2,0.0022380126447714,1.0,,,,
2022-01-19,IC2202,7133.6,-0.004410204879138,0.0,,,,
2022-01-20,IC2202,7085.8,-0.0067006840865762,0.0,,,,
2022-01-21,IC2202,7009.2,-0.0108103531005674,0.0,,,,
2022-01-24,IC2202,7004.2,-0.0007133481709752,0.0,,,,
2022-01-25,IC2202,6762.2,-0.034550698152537,0.0,,,,
2022-01-26,IC2202,6786.2,0.0035491408121617,0.0,,,,
2022-01-27,IC2202,6622.0,-0.0241961628009784,0.0,,,,
2022-01-28,IC2202,6561.0,-0.0092117185140441,0.0,,,,
2022-02-07,IC2202,6661.6,0.0153330285017527,0.0,,,,
2022-02-08,IC2202,6742.4,0.0121292182058363,0.0,,,,
2022-02-09,IC2202,6841.8,0.0147425249169435,0.0,,,,
2022-02-10,IC2202,6836.4,-0.0007892659826361,0.0,,,,
2022-02-11,IC2202,6753.8,-0.0120823825405183,0.0,,,,
2022-02-14,IC2203,6698.0,-0.0080843377061803,0.0,,,,
2022-02-15,IC2203,6756.6,0.0087488802627651,1.0,,,,
2022-02-16,IC2203,6768.0,0.0016872391439481,0.0,,,,
2022-02-17,IC2203,6764.0,-0.0005910165484633,0.0,,,,
2022-02-18,IC2203,6829.4,0.0096688350088705,0.0,,,,
2022-02-21,IC2203,6843.2,0.0020206753155476,0.0,,,,
2022-02-22,IC2203,6785.6,-0.0084171148000934,0.0,,,,
2022-02-23,IC2203,6885.2,0.0146781419476538,0.0,,,,
2022-02-24,IC2203,6773.6,-0.0162086794864345,0.0,,,,
2022-02-25,IC2203,6818.2,0.0065843864414785,0.0,,,,
2022-02-28,IC2203,6848.0,0.0043706550115867,0.0,,,,
2022-03-01,IC2203,6858.6,0.0015478971962616,0.0,,,,
2022-03-02,IC2203,6867.4,0.0012830606829381,0.0,,,,
2022-03-03,IC2203,6853.4,-0.0020386172350526,0.0,,,,
2022-03-04,IC2203,6817.0,-0.0053112323810079,0.0,,,,
2022-03-07,IC2203,6660.6,-0.0229426433915211,0.0,,,,
2022-03-08,IC2203,6395.8,-0.039756178122091,0.0,,,,
2022-03-09,IC2203,6280.8,-0.0179805497357641,0.0,,,,
2022-03-10,IC2203,6376.2,0.0151891478792509,0.0,,,,
2022-03-11,IC2203,6481.2,0.016467488472758,0.0,,,,
2022-03-14,IC2204,6295.8,-0.0260137011664505,0.0,,,,
2022-03-15,IC2204,5852.2,-0.0704596715270498,1.0,,,,
2022-03-16,IC2204,6144.0,0.0498615905129695,0.0,,,,
2022-03-17,IC2204,6225.2,0.0132161458333333,0.0,,,,
2022-03-18,IC2204,6293.0,0.0108912163464627,0.0,,,,
2022-03-21,IC2204,6304.6,0.0018433179723502,0.0,,,,
2022-03-22,IC2204,6308.0,0.0005392887732766,0.0,,,,
2022-03-23,IC2204,6352.8,0.0071020925808498,0.0,,,,
2022-03-24,IC2204,6299.8,-0.008342777987659,0.0,,,,
2022-03-25,IC2204,6211.0,-0.0140956855773199,0.0,,,,
2022-03-28,IC2204,6258.8,0.0076960231846723,0.0,,,,
2022-03-29,IC2204,6216.0,-0.0068383715728255,0.0,,,,
2022-03-30,IC2204,6375.0,0.0255791505791505,0.0,,,,
2022-03-31,IC2204,6318.6,-0.0088470588235293,0.0,,,,
2022-04-01,IC2204,6368.4,0.0078814927357324,0.0,,,,
2022-04-06,IC2204,6349.0,-0.0030462910621191,0.0,,,,
2022-04-07,IC2204,6195.4,-0.0241927862655536,0.0,,,,
2022-04-08,IC2204,6210.0,0.0023565871453015,0.0,,,,
2022-04-11,IC2205,5954.4,-0.0326892109500804,0.0,,,,
2022-04-12,IC2205,6098.0,0.0241166196426172,1.0,,,,
2022-04-13,IC2205,6002.2,-0.015710068875041,0.0,,,,
2022-04-14,IC2205,6087.4,0.0141947952417447,0.0,,,,
2022-04-15,IC2205,6018.0,-0.0114005979564345,0.0,,,,
2022-04-18,IC2205,6051.0,0.005483549351944,0.0,,,,
2022-04-19,IC2205,6066.6,0.0025780862667328,0.0,,,,
2022-04-20,IC2205,5904.2,-0.0267695249398346,0.0,,,,
2022-04-21,IC2205,5719.4,-0.0312997527184039,0.0,,,,
2022-04-22,IC2205,5686.6,-0.0057348672937719,0.0,,,,
2022-04-25,IC2205,5316.8,-0.0650300706925052,0.0,,,,
